event_id,timestamp,destination_port,flow_duration,total_fwd_packets,total_backward_packets,flow_bytes_per_sec,flow_packets_per_sec,protocol,source_ip,target_ip,scenario
BSSH-019,2026-05-11T15:12:27Z,22,4.680347,1.0,18.0,844.1681781286729,4.059528064906298,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-020,2026-05-11T15:14:40Z,22,5.815205,1.0,17.0,679.425746813741,3.095333698468068,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-021,2026-05-11T15:28:11Z,22,4.6286,1.0,18.0,853.6058419392474,4.104912932636219,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-022,2026-05-11T15:36:12Z,22,5.874798,0.0,17.0,672.5337620119024,2.8937165158699925,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-023,2026-05-11T15:38:12Z,22,5.203771,1.0,18.0,759.2570849101546,3.651198332901275,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-024,2026-05-11T18:04:16Z,22,4.707922,22.0,18.0,1616.8492171280664,8.496317483594673,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-025,2026-05-11T18:05:54Z,22,7.289348,22.0,18.0,1044.2634924275806,5.487459235037208,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-026,2026-05-11T18:08:27Z,22,18.57345,25.0,22.0,420.6003731132342,2.530493796252177,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-027,2026-05-11T18:43:47Z,22,4.327831,22.0,18.0,1758.8487165972979,9.242505079334197,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-028,2026-05-11T18:46:07Z,22,4.351254,22.0,19.0,1749.3807532265412,9.422571056527612,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-029,2026-05-11T18:48:28Z,22,5.161411,22.0,18.0,1474.7905175542114,7.7498187995491925,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-030,2026-05-11T18:50:47Z,22,9.03533,22.0,18.0,842.4706125841558,4.427065751887313,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
